File,MCD,LSD,SNR,Pitch RMSE,Duration Difference,CER,WER
train_telugumale_00001.wav,7.1024613,11.734189,-9.823595881,121.5023687,0.973333333,0,0
train_telugumale_00002.wav,4.999714,10.225644,-8.833019137,127.1021556,0.016,0,0
train_telugumale_00003.wav,5.767791,25.519981,-11.57026768,125.3889645,0.154666667,0,0
train_telugumale_00004.wav,6.459824,13.057328,-8.565746546,114.4355799,0.453333333,0,0
train_telugumale_00005.wav,6.393827,14.803154,-10.02810597,148.3674619,0.509333333,0,0
train_telugumale_00006.wav,5.660673,13.266123,-8.543992639,125.84447,0.728,0,0
train_telugumale_00007.wav,7.4917808,17.137728,-8.856052756,123.7019976,0.361645833,0,0
train_telugumale_00008.wav,4.626524,15.576412,-7.515953779,143.9102956,0.909333333,0,0
train_telugumale_00009.wav,5.497687,21.765894,-10.31725645,116.5429968,0.538666667,0,0
train_telugumale_00010.wav,6.2325053,12.344561,-9.264298081,99.54208276,0.133333333,0,0
train_telugumale_00011.wav,5.6579056,17.498829,-8.833488822,134.4893967,0.202666667,0,0
train_telugumale_00012.wav,3.5666065,13.163692,-6.390230656,138.0079174,0.698666667,0,0
train_telugumale_00013.wav,5.1977096,16.96137,-8.426907063,130.1332755,1.234666667,0,0
train_telugumale_00014.wav,6.747277,10.366187,-8.944343328,132.2473517,0.946666667,0,0
train_telugumale_00015.wav,5.3343754,18.527128,-9.212037921,117.1051281,0.053333333,0,0
train_telugumale_00016.wav,5.589552,13.758055,-7.544308901,110.8739482,0.074666667,0,0
train_telugumale_00017.wav,6.0471983,11.731803,-7.595764399,106.1313795,0.608,0,0
train_telugumale_00018.wav,7.6840353,15.379476,-8.345829248,105.8526469,0.389333333,0,0
train_telugumale_00019.wav,4.8071156,16.647974,-8.345919251,130.2591125,0.322666667,0,0
train_telugumale_00020.wav,5.3861246,16.560791,-8.878169656,137.9650459,0.314666667,0,0
train_telugumale_00021.wav,7.612116,15.630755,-9.12768662,128.3461651,0.216,0,0
train_telugumale_00022.wav,3.0690005,9.610787,-7.358983755,125.7733266,0.330666667,0,0
train_telugumale_00023.wav,5.233382,17.333689,-8.854868412,143.1447388,1.176,0,0
train_telugumale_00024.wav,5.357545,15.300492,-9.209893346,139.3415383,1.616,0,0
train_telugumale_00025.wav,6.589505,18.385735,-10.00870585,115.5338593,0.557333333,0,0
train_telugumale_00026.wav,5.0767937,10.106636,-6.815366149,139.7640369,1.642666667,0,0
train_telugumale_00027.wav,5.617184,11.509733,-6.314924955,137.594884,0.304,0,0
train_telugumale_00028.wav,6.662476,8.8111725,-6.758679152,128.0847299,0.733333333,0,0
train_telugumale_00029.wav,4.552828,16.027332,-7.572842836,133.4373742,0.850666667,0,0
train_telugumale_00030.wav,5.9242387,17.011307,-8.364706635,126.0594856,0.290666667,0,0
train_telugumale_00031.wav,4.1681104,15.76943,-8.01609993,124.0643746,0.325333333,0,0
train_telugumale_00032.wav,6.7282324,17.622744,-8.607004285,104.3636429,0.570666667,0,0
train_telugumale_00033.wav,6.6972976,11.8766575,-7.727617025,129.0773548,0.152,0,0
train_telugumale_00034.wav,5.2973094,10.144046,-7.4826473,134.7433205,0.304,0,0
train_telugumale_00035.wav,4.539637,14.37873,-7.0531106,136.6528953,0.042666667,0,0
train_telugumale_00036.wav,5.737707,13.034458,-7.757671475,101.4328295,0.605333333,0,0
train_telugumale_00037.wav,7.268118,13.86369,-7.899646759,140.5205885,1.306666667,0,0
train_telugumale_00038.wav,5.2112937,13.291193,-7.256419659,136.200263,0.501333333,0,0
train_telugumale_00039.wav,5.2392397,15.7825985,-9.166845083,121.7995655,0.016,0,0
train_telugumale_00040.wav,5.115719,4.885821,-7.248523831,135.4065549,0.005333333,0,0
train_telugumale_00041.wav,7.226433,11.944826,-7.49683857,126.1516559,0.317333333,0,0
,,,,,,,
,,,,,,,
Average,5.735972034,14.34995491,-8.339862692,126.7535795,0.524072663,0,0
